time, "env.T", "env.b.T", "room.T", "room.w.isOpen", "room.r.T", "room.r.tT", "room.r.lambda"
  0.000000,   8.000000,  40.000000,   7.000010,   0.000000,   7.000000,   7.000000,   0.000000
 10.000000,   8.000000,  40.000000,   7.003244,   0.000000,   7.000092,   7.000000,   0.000000
 20.000000,   8.000000,  40.000000,   7.006355,   0.000000,   7.000356,   7.000000,   0.000000
 30.000000,   8.000000,  40.000000,   7.009354,   0.000000,   7.000775,   7.000000,   0.000000
 40.000000,   8.000000,  40.000000,   7.012251,   0.000000,   7.001336,   7.000000,   0.000000
 50.000000,   8.000000,  40.000000,   7.015055,   0.000000,   7.002023,   7.000000,   0.000000
 60.000000,   8.000000,  40.000000,   7.017775,   0.000000,   7.002827,   7.000000,   0.000000
 70.000000,   8.000000,  40.000000,   7.020416,   0.000000,   7.003735,   7.000000,   0.000000
 80.000000,   8.000000,  40.000000,   7.022987,   0.000000,   7.004737,   7.000000,   0.000000
 90.000000,   8.000000,  40.000000,   7.025494,   0.000000,   7.005826,   7.000000,   0.000000
100.000000,   8.000000,  40.000000,   7.027942,   0.000000,   7.006991,   7.000000,   0.000000
110.000000,   8.000000,  40.000000,   7.030336,   0.000000,   7.008227,   7.000000,   0.000000
120.000000,   8.000000,  40.000000,   7.032680,   0.000000,   7.009525,   7.000000,   0.000000
130.000000,   8.000000,  40.000000,   7.034980,   0.000000,   7.010881,   7.000000,   0.000000
140.000000,   8.000000,  40.000000,   7.037238,   0.000000,   7.012288,   7.000000,   0.000000
150.000000,   8.000000,  40.000000,   7.039459,   0.000000,   7.013742,   7.000000,   0.000000
160.000000,   8.000000,  40.000000,   7.041645,   0.000000,   7.015237,   7.000000,   0.000000
170.000000,   8.000000,  40.000000,   7.043799,   0.000000,   7.016770,   7.000000,   0.000000
180.000000,   8.000000,  40.000000,   7.045924,   0.000000,   7.018337,   7.000000,   0.000000
190.000000,   8.000000,  40.000000,   7.048022,   0.000000,   7.019934,   7.000000,   0.000000
200.000000,   8.000000,  40.000000,   7.050095,   0.000000,   7.021558,   7.000000,   0.000000
210.000000,   8.000000,  40.000000,   7.052146,   0.000000,   7.023207,   7.000000,   0.000000
220.000000,   8.000000,  40.000000,   7.054175,   0.000000,   7.024877,   7.000000,   0.000000
230.000000,   8.000000,  40.000000,   7.056185,   0.000000,   7.026567,   7.000000,   0.000000
240.000000,   8.000000,  40.000000,   7.058177,   0.000000,   7.028274,   7.000000,   0.000000
250.000000,   8.000000,  40.000000,   7.060153,   0.000000,   7.029997,   7.000000,   0.000000
260.000000,   8.000000,  40.000000,   7.062113,   0.000000,   7.031733,   7.000000,   0.000000
270.000000,   8.000000,  40.000000,   7.064059,   0.000000,   7.033482,   7.000000,   0.000000
280.000000,   8.000000,  40.000000,   7.065991,   0.000000,   7.035241,   7.000000,   0.000000
290.000000,   8.000000,  40.000000,   7.067911,   0.000000,   7.037009,   7.000000,   0.000000
300.000000,   8.000000,  40.000000,   7.069819,   0.000000,   7.038786,   7.000000,   0.000000
